0.255 -0.08726687 -0.00465520
0.256 -0.08727470 -0.00465558
0.257 -0.08728239 -0.00465597
0.258 -0.08728995 -0.00465635
0.259 -0.08729737 -0.00465673
0.260 -0.08730465 -0.00465711
0.261 -0.08731179 -0.00465749
0.262 -0.08731878 -0.00465786
0.263 -0.08732562 -0.00465824
0.264 -0.08733231 -0.00465861
0.265 -0.08733885 -0.00465898
0.266 -0.08734523 -0.00465935
0.267 -0.08735146 -0.00465972
0.268 -0.08735752 -0.00466009
0.269 -0.08736342 -0.00466045
0.270 -0.08736916 -0.00466082
0.271 -0.08737473 -0.00466118
0.272 -0.08738012 -0.00466154
0.273 -0.08738534 -0.00466190
0.274 -0.08739039 -0.00466225
0.275 -0.08739526 -0.00466261
0.276 -0.08739995 -0.00466296
0.277 -0.08740445 -0.00466331
0.278 -0.08740877 -0.00466366
0.279 -0.08741289 -0.00466400
0.280 -0.08741683 -0.00466435
0.281 -0.08742056 -0.00466469
0.282 -0.08742411 -0.00466503
0.283 -0.08742745 -0.00466537
0.284 -0.08743058 -0.00466570
0.285 -0.08743351 -0.00466603
0.286 -0.08743623 -0.00466636
0.287 -0.08743874 -0.00466669
0.288 -0.08744103 -0.00466702
0.289 -0.08744311 -0.00466734
0.290 -0.08744496 -0.00466766
0.291 -0.08744659 -0.00466798
0.292 -0.08744799 -0.00466829
0.293 -0.08744917 -0.00466860
0.294 -0.08745011 -0.00466891
0.295 -0.08745081 -0.00466922
0.296 -0.08745127 -0.00466952
0.297 -0.08745149 -0.00466982
0.298 -0.08745147 -0.00467012
0.299 -0.08745120 -0.00467041
0.300 -0.08745067 -0.00467071
0.301 -0.08744989 -0.00467099
0.302 -0.08744885 -0.00467128
0.303 -0.08744755 -0.00467156
0.304 -0.08744598 -0.00467184
0.305 -0.08744415 -0.00467211
0.306 -0.08744204 -0.00467239
0.307 -0.08743966 -0.00467265
0.308 -0.08743700 -0.00467292
0.309 -0.08743405 -0.00467318
0.310 -0.08743083 -0.00467344
0.311 -0.08742731 -0.00467369
0.312 -0.08742350 -0.00467394
0.313 -0.08741940 -0.00467419
0.314 -0.08741499 -0.00467443
0.315 -0.08741028 -0.00467467
0.316 -0.08740527 -0.00467491
0.317 -0.08739994 -0.00467514
0.318 -0.08739431 -0.00467536
0.319 -0.08738835 -0.00467559
0.320 -0.08738207 -0.00467581
0.321 -0.08737547 -0.00467602
0.322 -0.08736854 -0.00467623
0.323 -0.08736128 -0.00467644
0.324 -0.08735368 -0.00467664
0.325 -0.08734574 -0.00467684
0.326 -0.08733745 -0.00467703
0.327 -0.08732882 -0.00467722
0.328 -0.08731984 -0.00467740
0.329 -0.08731050 -0.00467758
0.330 -0.08730080 -0.00467775
0.331 -0.08729073 -0.00467792
0.332 -0.08728030 -0.00467809
0.333 -0.08726950 -0.00467825
0.334 -0.08725832 -0.00467840
0.335 -0.08724676 -0.00467855
0.336 -0.08723481 -0.00467869
0.337 -0.08722248 -0.00467883
0.338 -0.08720976 -0.00467897
0.339 -0.08719663 -0.00467910
0.340 -0.08718311 -0.00467922
0.341 -0.08716918 -0.00467934
0.342 -0.08715484 -0.00467945
0.343 -0.08714009 -0.00467956
0.344 -0.08712492 -0.00467966
0.345 -0.08710932 -0.00467975
0.346 -0.08709330 -0.00467984
0.347 -0.08707684 -0.00467993
0.348 -0.08705995 -0.00468001
0.349 -0.08704262 -0.00468008
0.350 -0.08702484 -0.00468015
0.351 -0.08700661 -0.00468021
0.352 -0.08698792 -0.00468026
0.353 -0.08696878 -0.00468031
0.354 -0.08694917 -0.00468035
0.355 -0.08692909 -0.00468038
0.356 -0.08690854 -0.00468041
0.357 -0.08688751 -0.00468044
0.358 -0.08686599 -0.00468045
